grid,segment,order,angle_deg,cross_mm,truth_mm,measured_mm,error_mm,error_rel,n_points,resolved
control,126,2,35.0000,0.7990,1.3169,1.1990,-0.1179,-0.0895,4,0
control,128,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,1,0
control,129,2,75.0000,0.7990,1.3169,2.3570,1.0401,0.7898,1,0
control,132,3,0.0000,0.7990,1.9753,1.9980,0.0227,0.0115,1,1
control,134,3,0.0000,0.7990,1.9753,1.9980,0.0227,0.0115,3,1
control,135,2,35.0000,0.7990,1.3169,1.5290,0.2121,0.1611,4,0
control,136,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,137,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,138,2,35.0000,0.7990,1.3169,1.1990,-0.1179,-0.0895,4,0
control,139,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,140,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,141,5,70.0000,0.7990,4.4444,4.4345,-0.0099,-0.0022,2,1
control,145,2,70.0000,0.7990,1.3169,1.5290,0.2121,0.1611,8,0
control,146,1,35.0000,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,147,1,75.0000,0.7990,0.8779,1.1990,0.3211,0.3657,4,0
control,148,2,83.2823,0.7990,1.3169,1.3640,0.0471,0.0358,6,0
control,149,1,50.5942,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,150,1,63.6941,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,151,5,70.0000,0.7990,4.4444,4.3940,-0.0504,-0.0113,2,1
control,152,4,75.0000,0.7990,2.9630,2.9260,-0.0370,-0.0125,1,1
control,154,1,67.6439,0.7990,0.8779,1.1990,0.3211,0.3657,4,0
control,156,4,75.0000,0.7990,2.9630,2.7925,-0.1705,-0.0575,2,1
control,157,3,70.0000,0.7990,1.9753,2.0920,0.1167,0.0591,2,1
control,159,3,70.0000,0.7990,1.9753,2.1860,0.2107,0.1067,2,1
control,160,2,75.0000,0.7990,1.3169,1.1990,-0.1179,-0.0895,5,0
control,161,1,77.7597,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,162,1,77.7597,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,163,2,35.0000,0.7990,1.3169,1.1990,-0.1179,-0.0895,5,0
control,164,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,165,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,166,3,40.0000,0.7990,1.9753,1.9980,0.0227,0.0115,1,1
control,168,3,40.0000,0.7990,1.9753,2.1860,0.2107,0.1067,1,1
control,169,2,5.0000,0.7990,1.3169,1.1990,-0.1179,-0.0895,6,0
control,170,1,35.3102,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,171,1,35.3102,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,172,2,75.0000,0.7990,1.3169,1.1990,-0.1179,-0.0895,5,0
control,174,1,77.7597,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,175,4,35.0000,0.7990,2.9630,3.1645,0.2015,0.0680,2,1
control,179,4,35.0000,0.7990,2.9630,3.1670,0.2040,0.0689,2,1
control,180,3,0.0000,0.7990,1.9753,1.9980,0.0227,0.0115,1,1
control,182,3,0.0000,0.7990,1.9753,2.0920,0.1167,0.0591,2,1
control,183,2,35.0000,0.7990,1.3169,1.1990,-0.1179,-0.0895,1,0
control,184,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,185,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,188,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,1,0
control,189,3,70.0000,0.7990,1.9753,2.0920,0.1167,0.0591,2,1
control,191,3,70.0000,0.7990,1.9753,2.1860,0.2107,0.1067,1,1
control,192,2,75.0000,0.7990,1.3169,1.5290,0.2121,0.1611,5,0
control,193,1,77.7597,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,194,1,77.7597,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,195,2,35.0000,0.7990,1.3169,1.1990,-0.1179,-0.0895,5,0
control,196,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,197,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,198,6,35.0000,0.7990,6.6667,6.7920,0.1253,0.0188,3,1
control,201,1,63.2400,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,202,1,84.9094,0.7990,0.8779,1.1990,0.3211,0.3657,6,0
control,206,3,35.0000,0.7990,1.9753,2.1860,0.2107,0.1067,1,1
control,207,2,47.8549,0.7990,1.3169,1.5290,0.2121,0.1611,3,0
control,208,1,77.2517,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,209,1,28.5202,0.7990,0.8779,1.1990,0.3211,0.3657,4,0
control,210,2,47.8549,0.7990,1.3169,1.3640,0.0471,0.0358,4,0
control,211,1,77.2517,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,212,1,28.5202,0.7990,0.8779,1.1990,0.3211,0.3657,4,0
control,213,3,73.7299,0.7990,1.9753,1.9980,0.0227,0.0115,1,1
control,215,3,73.7299,0.7990,1.9753,1.9980,0.0227,0.0115,1,1
control,216,2,77.7597,0.7990,1.3169,1.5290,0.2121,0.1611,6,0
control,217,1,59.8239,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,218,1,81.0647,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,219,2,47.8549,0.7990,1.3169,1.5290,0.2121,0.1611,4,0
control,220,1,77.2517,0.7990,0.8779,1.1990,0.3211,0.3657,6,0
control,221,1,28.5202,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,222,6,35.0000,0.7990,6.6667,6.6400,-0.0267,-0.0040,3,1
control,223,5,70.0000,0.7990,4.4444,4.5510,0.1066,0.0240,3,1
control,226,3,73.7299,0.7990,1.9753,2.7970,0.8217,0.4160,1,1
control,227,2,70.0000,0.7990,1.3169,1.5290,0.2121,0.1611,5,0
control,228,1,75.0000,0.7990,0.8779,1.1990,0.3211,0.3657,4,0
control,229,1,35.0000,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,230,2,83.2823,0.7990,1.3169,1.3640,0.0471,0.0358,6,0
control,232,1,50.5942,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,233,5,70.0000,0.7990,4.4444,3.8820,-0.5624,-0.1266,4,1
control,234,4,35.0000,0.7990,2.9630,2.9260,-0.0370,-0.0125,2,1
control,235,2,47.8549,0.7990,1.3169,1.9980,0.6811,0.5172,1,0
control,236,1,77.2517,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,237,1,28.5202,0.7990,0.8779,1.1990,0.3211,0.3657,1,0
control,238,4,35.0000,0.7990,2.9630,3.0490,0.0860,0.0290,1,1
control,239,3,70.0000,0.7990,1.9753,1.9980,0.0227,0.0115,1,1
control,241,3,70.0000,0.7990,1.9753,2.1860,0.2107,0.1067,1,1
control,242,2,35.0000,0.7990,1.3169,1.1990,-0.1179,-0.0895,5,0
control,243,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,245,2,75.0000,0.7990,1.3169,1.1990,-0.1179,-0.0895,6,0
control,246,1,77.7597,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,248,3,0.0000,0.7990,1.9753,1.9980,0.0227,0.0115,1,1
control,250,3,0.0000,0.7990,1.9753,2.0920,0.1167,0.0591,2,1
control,254,2,35.0000,0.7990,1.3169,1.5290,0.2121,0.1611,3,0
control,256,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,257,4,75.0000,0.7990,2.9630,2.9260,-0.0370,-0.0125,2,1
control,258,2,77.7597,0.7990,1.3169,1.9980,0.6811,0.5172,1,0
control,259,1,43.3059,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,260,1,67.6439,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,261,4,75.0000,0.7990,2.9630,2.6590,-0.3040,-0.1026,4,1
control,262,3,40.0000,0.7990,1.9753,1.9980,0.0227,0.0115,1,1
control,264,3,40.0000,0.7990,1.9753,2.1860,0.2107,0.1067,1,1
control,265,2,75.0000,0.7990,1.3169,1.1990,-0.1179,-0.0895,5,0
control,266,1,77.7597,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,267,1,77.7597,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,268,2,5.0000,0.7990,1.3169,1.5290,0.2121,0.1611,5,0
control,269,1,35.3102,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,271,3,70.0000,0.7990,1.9753,1.9980,0.0227,0.0115,1,1
control,273,3,70.0000,0.7990,1.9753,2.1860,0.2107,0.1067,1,1
control,274,2,35.0000,0.7990,1.3169,1.5290,0.2121,0.1611,7,0
control,275,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,276,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,277,2,75.0000,0.7990,1.3169,1.1990,-0.1179,-0.0895,5,0
control,278,1,77.7597,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,279,1,77.7597,0.7990,0.8779,1.1990,0.3211,0.3657,4,0
control,280,5,0.0000,0.7990,4.4444,4.4740,0.0296,0.0067,3,1
control,284,2,0.0000,0.7990,1.3169,1.5290,0.2121,0.1611,5,0
control,285,1,35.0000,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,286,1,35.0000,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,287,2,70.0000,0.7990,1.3169,1.5290,0.2121,0.1611,5,0
control,288,1,73.7299,0.7990,0.8779,1.1990,0.3211,0.3657,1,0
control,289,1,73.7299,0.7990,0.8779,1.1990,0.3211,0.3657,5,0
control,290,5,0.0000,0.7990,4.4444,4.3950,-0.0494,-0.0111,3,1
control,291,4,35.0000,0.7990,2.9630,3.0490,0.0860,0.0290,2,1
control,293,1,28.5202,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,295,4,35.0000,0.7990,2.9630,3.1670,0.2040,0.0689,2,1
control,296,3,0.0000,0.7990,1.9753,1.9980,0.0227,0.0115,1,1
control,298,3,0.0000,0.7990,1.9753,2.1860,0.2107,0.1067,1,1
control,299,2,35.0000,0.7990,1.3169,1.5290,0.2121,0.1611,4,0
control,300,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,301,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,302,2,35.0000,0.7990,1.3169,1.5290,0.2121,0.1611,5,0
control,303,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,305,3,70.0000,0.7990,1.9753,1.9980,0.0227,0.0115,1,1
control,309,1,77.7597,0.7990,0.8779,1.1990,0.3211,0.3657,1,0
control,310,1,77.7597,0.7990,0.8779,1.1990,0.3211,0.3657,1,0
control,311,2,35.0000,0.7990,1.3169,1.3640,0.0471,0.0358,2,0
control,314,4,35.0000,0.7990,2.9630,3.0490,0.0860,0.0290,2,1
control,316,1,77.2517,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,317,1,28.5202,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,318,4,35.0000,0.7990,2.9630,2.9230,-0.0400,-0.0135,2,1
control,319,3,70.0000,0.7990,1.9753,1.9980,0.0227,0.0115,1,1
control,321,3,70.0000,0.7990,1.9753,2.1860,0.2107,0.1067,1,1
control,322,2,35.0000,0.7990,1.3169,1.5290,0.2121,0.1611,5,0
control,323,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,324,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,325,2,75.0000,0.7990,1.3169,1.5290,0.2121,0.1611,3,0
control,328,3,0.0000,0.7990,1.9753,1.9980,0.0227,0.0115,1,1
control,329,1,35.0000,0.7990,0.8779,1.9980,1.1201,1.2758,1,0
control,330,3,0.0000,0.7990,1.9753,1.9980,0.0227,0.0115,1,1
control,331,2,35.0000,0.7990,1.3169,1.5290,0.2121,0.1611,5,0
control,332,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,333,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
