ratio,spacing_mm,imposed,truth,held_rd,held_rl,side_branches,recovered,sd,se,mean_low,mean_high,n_repeats,fit_ci_low,fit_ci_high,r2,bias,bias_low,bias_high,order_min,order_max,n_orders,orders_expected,reliable,dropped_for
R_b,0.80,3.4601612268689763,3.4601612268689763,1.56,1.49,6,3.05422,0.3975549544123149,0.1257179151027322,2.7698263178582976,3.3386136821417023,10,2.1673400000000003,4.57067,0.96871,-0.11731858727181436,-0.19950946321520036,-0.035127711328428374,1,5,5,5,True,
R_d,1.31,1.3,1.2995904244553103,1.3,1.49,0,1.26669,0.03706877841706323,0.011722176987801081,1.2538524051609328,1.27955195347892,10,1.17924,1.3661000000000003,0.97674,-0.02530662316103798,-0.035194179976778005,-0.015419066345297954,1,5,5,5,True,
R_d,1.31,1.45,1.4495431657386153,1.45,1.49,0,1.41259,0.03266498124903793,0.010329574047365165,1.4048350619715844,1.4205958725952754,10,1.3572600000000001,1.47082,0.99509,-0.025406417225540046,-0.03084289231514525,-0.01996994213593484,1,5,5,5,True,
R_d,1.31,1.56,1.5595085093463723,1.56,1.49,0,1.4995800000000001,0.03277033889222256,0.01036289105950224,1.4662777216866014,1.5345771876437082,10,1.42818,1.5761200000000002,0.9956300000000002,-0.03788440673913326,-0.059782160277436394,-0.01598665320083012,1,5,5,5,True,
R_d,1.31,1.7,1.6994644012107902,1.7,1.49,0,1.61844,0.05604665120336012,0.01772350730276349,1.5737209858134473,1.6646760734576607,10,1.51426,1.7364799999999998,0.9937400000000001,-0.04723009879939263,-0.07399002609749071,-0.020470171501294543,1,5,5,5,True,
R_d,1.31,1.85,1.849417142494095,1.85,1.49,0,1.7738900000000002,0.08622420967067967,0.027266489200726465,1.7335967782703436,1.8129874611259107,10,1.7068999999999999,1.84455,0.99832,-0.04116162927597115,-0.06262533290221259,-0.019697925649729702,1,5,5,5,True,
R_l,1.31,1.05,1.0428543647320496,1.56,1.05,0,1.1714600000000002,0.28076211441162946,0.08878477622255344,0.9694734714220516,1.3744873909389528,10,0.87164,2.03586,0.56113,0.1238198456230561,-0.07036542761064475,0.318005118856757,1,5,5,5,False,
R_l,1.31,1.15,1.142173828039864,1.56,1.15,0,1.1974600000000002,0.22843975232967761,0.0722389925486537,1.031430776217271,1.3646513283406847,10,0.98315,1.6357100000000002,0.77184,0.04891306635434837,-0.096958141662766,0.19478427437146273,1,5,5,5,False,
R_l,1.31,1.3,1.2911530230015855,1.56,1.3,0,1.4453900000000002,0.283125266543902,0.08953207054209991,1.2307237261710948,1.6665725610368376,10,1.11134,2.14242,0.93212,0.12198021287689556,-0.04680258323681005,0.29076300899060115,1,5,5,5,True,
R_l,1.31,1.49,1.4798600032864322,1.56,1.49,0,1.6180499999999998,0.249530417874143,0.07890844659758829,1.4187723867045725,1.8251516599724076,10,1.3114199999999998,2.1226700000000003,0.9611799999999999,0.09602396154803938,-0.04127932131836662,0.23332724441444538,1,5,5,5,True,
R_l,1.31,1.65,1.638771144578935,1.56,1.65,0,1.9353500000000001,0.5132845047123259,0.16231481225623792,1.575123709159379,2.2904917454481497,10,1.20889,102.96417,0.9476199999999999,0.1794250427812964,-0.038838513620466225,0.397688599183059,1,4,4,5,True,
R_l,1.31,1.8,1.7877503395406567,1.56,1.8,0,1.82756,0.5031001230150692,0.15909422798385167,1.4578538735468156,2.2020234348890195,10,1.22833,333.20610999999997,0.9656100000000001,0.023598549385872702,-0.18453161982260025,0.23172871859434563,1,4,4,5,True,
R_b,1.31,2.0000000000000004,2.0000000000000004,1.56,1.49,0,2.04526,0.14312468689922084,0.045259999999999995,1.9428747668117532,2.1476452331882467,10,1.99401,2.11005,0.9992699999999999,0.022629999999999772,-0.028562616594123593,0.07382261659412313,1,5,5,5,True,
R_b,1.31,2.3458202157571426,2.3458202157571426,1.56,1.49,1,2.3486599999999997,0.18607643710165028,0.058842536013027524,2.215548935680919,2.481771064319082,10,1.8377199999999998,3.07496,0.97211,0.0012105719883317545,-0.05553336065619032,0.057954504632853836,1,5,5,5,True,
R_b,1.31,2.624215727565684,2.624215727565684,1.56,1.49,2,2.66166,0.2758750047072446,0.08723933643845659,2.464310910197983,2.859009089802017,10,1.94371,3.83074,0.97407,0.014268747817105154,-0.06093432627813516,0.08947182191234547,1,5,5,5,True,
R_b,1.31,2.864613056218954,2.864613056218954,1.56,1.49,3,2.73498,0.3151112248080033,0.09964691866786447,2.5095630091847205,2.9603969908152794,10,2.03217,6.827539999999999,0.9886799999999999,-0.04525325189645631,-0.12394345765597728,0.03343695386306466,1,5,5,5,True,
R_b,1.31,3.0798964981176313,3.0798964981176313,1.56,1.49,4,2.85948,0.20296093110634758,0.06418188183245764,2.714290496290838,3.0046695037091617,10,2.0529200000000003,4.084560000000001,0.96419,-0.07156620303712977,-0.11870723644455072,-0.024425169629708816,1,5,5,5,True,
R_b,1.31,3.2770048060946544,3.2770048060946544,1.56,1.49,5,2.86822,0.20015529415375902,0.06329466152668627,2.725037528060519,3.0114024719394816,10,2.0757000000000003,4.05394,0.9662000000000001,-0.12474342586693385,-0.16843651770286494,-0.08105033403100276,1,5,5,5,True,
R_b,1.31,3.4601612268689763,3.4601612268689763,1.56,1.49,6,3.13222,0.5969656044437476,0.1887770994821376,2.705176532234213,3.559263467765787,10,2.12533,4.87729,0.9672799999999999,-0.09477628508245065,-0.21819350172822213,0.028640931563320843,1,5,5,5,True,
